cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,state_abbreviation,district,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,winner,total_votes,totalspend,costvote
H0AZ07025,2010,9446.48,3465.95,18535.08,78416.34,0.0,13553.57,0.0,0.0,0.0,0.0,0.0,0.0,1785.66,AZ,7,0,IND,0.0,0.0,4506.0,0.0,0,4506.0,125203.08000000002,27.78585885486019
H0AZ08015,2010,93547.19,14159.78,41230.79,285927.87,6650.0,21625.47,11532.41,0.0,0.0,0.0,0.0,0.0,1187184.2599999998,AZ,8,0,R,43097.0,0.0,134124.0,0.0,0,177221.0,1661857.7699999998,9.377318545770533
H0AZ08056,2012,3215.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1573920.0,AZ,1,0,R,28644.0,0.0,113594.0,0.0,0,142238.0,1577135.97,11.088007213262278
H0CA01148,2010,57248.92,0.0,1225.0,38028.17,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3721.84,CA,1,0,R,28115.0,0.0,72803.0,0.0,0,100918.0,100523.93,0.9960951465546284
H0CA02138,2010,29435.14,2654.79,2552.37,46165.7,16750.0,8365.14,6036.95,0.0,0.0,0.0,0.0,0.0,19040.59,CA,2,0,D,42334.0,0.0,98092.0,0.0,0,140426.0,131000.68,0.9328805207012946
H0CA02138,2012,64561.45,7306.04,288.0,26013.0,2960.0,144.22,80.0,0.0,1200.0,0.0,0.0,0.0,74550.61,CA,1,0,D,43409.0,0.0,125386.0,0.0,0,168795.0,177103.32,1.0492213631920377
H0CA03078,2010,865207.61,22761.68,46851.16,347479.0,56372.5,1534657.85,4112.0,0.0,0.0,0.0,0.0,0.0,50765.01,CA,3,0,D,49022.0,0.0,113128.0,0.0,0,162150.0,2928206.81,18.05862972556275
H0CA03078,2012,712135.2999999998,11554.11,70232.24,96056.52,115665.0,2290329.14,0.0,0.0,0.0,0.0,0.0,0.0,50435.3,CA,7,0,D,49433.0,0.0,141241.0,0.0,1,190674.0,3346407.61,17.550413847719142
H0CA03078,2014,294702.9500000001,2688.41,59157.07,0.0,7500.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,3936450.61,CA,7,1,D,51878.0,0.0,92521.0,0.0,1,144399.0,4300749.04,29.783786868330115
H0CA04134,2010,7616.79,656.27,0.0,9222.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.0,CA,4,0,D,50400.0,0.0,95653.0,0.0,0,146053.0,19875.42,0.13608361348277678
H0CA06097,2010,85471.05,0.0,0.0,25816.36,0.0,20298.55,0.0,0.0,0.0,0.0,0.0,0.0,11724.69,CA,6,0,R,27770.0,0.0,77361.0,0.0,0,105131.0,143310.65,1.3631626256765368
