state_abbreviation,district,fec_id,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,year,blank,total_votes
CA,19,H2CA19054,(I),R,65050,,155354,,W,2004,,220404
CA,19,,,R,65050,,,,,2004,,65050
CA,19,H4CA19076,,D,39637,,64047,,,2004,,103684
CA,19,,,D,39637,,,,,2004,,39637
CA,19,H4CA19084,,GRN,540,,15863,,,2004,,16403
CA,19,,,GRN,540,,,,,2004,,540
CA,19,,,,105227,,235264,,,2004,,340491
CA,20,H4CA20082,,D,24338,,61005,,W,2004,,85343
CA,20,H0CA20074,,D,8925,,,,,2004,,8925
CA,20,,,D,33263,,,,,2004,,33263
CA,20,H4CA20108,,R,15394,,53231,,,2004,,68625
CA,20,H4CA20116,,R,3934,,,,,2004,,3934
CA,20,,,R,19328,,,,,2004,,19328
CA,20,,,,52591,,114236,,,2004,,166827
CA,21,H8CA20059,(I),R,59510,,140721,,W,2004,,200231
CA,21,,,R,59510,,,,,2004,,59510
CA,21,H4CA21064,,D,32271,,51594,,,2004,,83865
CA,21,,,D,32271,,,,,2004,,32271
CA,21,,,,91781,,192315,,,2004,,284096
CA,22,H8CA18020,(I),R,78809,,209384,,W,2004,,288193
CA,22,,,R,78809,,,,,2004,,78809
CA,22,,,,78809,,209384,,,2004,,288193
CA,23,H8CA22089,(I),D,64202,,153980,,W,2004,,218182
CA,23,,,D,64202,,,,,2004,,64202
CA,23,H2CA22116,,R,43738,,83926,,,2004,,127664
CA,23,,,R,43738,,,,,2004,,43738
CA,23,H4CA23136,,LBT,490,,6391,,,2004,,6881
CA,23,,,LBT,490,,,,,2004,,490
CA,23,,,,108430,,244297,,,2004,,352727
CA,24,H6CA21028,(I),R,78839,,178660,,W,2004,,257499
CA,24,,,R,78839,,,,,2004,,78839
CA,24,H4CA24118,,D,47259,,96397,,,2004,,143656
CA,24,,,D,47259,,,,,2004,,47259
CA,24,H4CA24126,,GRN,723,,9321,,,2004,,10044
CA,24,,,GRN,723,,,,,2004,,723
CA,24,,,,126821,,284378,,,2004,,411199
CA,25,H2CA25036,(I),R,47727,,145575,,W,2004,,193302
CA,25,,,R,47727,,,,,2004,,47727
CA,25,H4CA25099,,D,15714,,80395,,,2004,,96109
CA,25,H6CA40234,,D,12303,,,,,2004,,12303
CA,25,,,D,28017,,,,,2004,,28017
CA,25,,,,75744,,225970,,,2004,,301714
CA,26,H8CA35032,(I),R,53368,,134596,,W,2004,,187964
CA,26,H4CA26113,,R,10502,,,,,2004,,10502
CA,26,,,R,63870,,,,,2004,,63870
CA,26,H4CA26097,,D,21365,,107522,,,2004,,128887
CA,26,H4CA26105,,D,13171,,,,,2004,,13171
CA,26,,,D,34536,,,,,2004,,34536
CA,26,H4CA28083,,LBT,340,,9089,,,2004,,9429
CA,26,,,LBT,340,,,,,2004,,340
CA,26,,,,98746,,251207,,,2004,,349953
CA,27,H6CA24113,(I),D,40350,,125296,,W,2004,,165646
CA,27,,,D,40350,,,,,2004,,40350
CA,27,H2CA27180,,R,24883,,66946,,,2004,,91829
CA,27,,,R,24883,,,,,2004,,24883
CA,27,H4CA27103,,GRN,335,,8956,,,2004,,9291
CA,27,,,GRN,335,,,,,2004,,335
CA,27,,,,65568,,201198,,,2004,,266766
CA,28,H2CA26026,(I),D,33702,,115303,,W,2004,,149005
CA,28,H4CA28069,,D,7448,,,,,2004,,7448
CA,28,,,D,41150,,,,,2004,,41150
CA,28,H2CA28097,,R,11409,,37868,,,2004,,49277
CA,28,,,R,11409,,,,,2004,,11409
