cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,state_abbreviation,district,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,total_votes,totalspend,costpervote
H4MO01084,2006,441.99,1023.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420.0,MO,1,0,REP,1388.0,0.0,0.0,0.0,0,1388.0,2885.62,2.078976945244957
H4MO03064,2004,101527.79,579.13,19792.33,203295.86,276.95,772.57,512.67,0.0,0.0,0.0,0.0,0.0,37351.99,MO,3,0,D,18922.0,0.0,0.0,0.0,0,18922.0,364109.29,19.242642955290137
H4MO03080,2004,95098.31,532.3,95789.47,3450.0,0.0,0.0,1125.4,0.0,0.0,0.0,0.0,0.0,18194.75,MO,3,0,D,7400.0,0.0,0.0,0.0,0,7400.0,214190.23,28.944625675675677
H4MO03106,2004,35738.7,0.0,832.45,350287.67,10100.0,30216.67,9719.94,0.0,0.0,0.0,0.0,1000.0,16395.42,MO,3,0,D,22783.0,0.0,0.0,0.0,0,22783.0,454290.8499999999,19.939904753544305
H4MO04088,2004,300.0,204.46,0.0,1859.06,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,MO,4,0,R,17643.0,0.0,0.0,0.0,0,17643.0,2849.52,0.1615099472878762
H4MO04120,2014,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MO,4,0,D,26831.0,0.0,46464.0,0.0,0,73295.0,5500.0,0.07503922504945768
H4MO04138,2014,142.56,6709.81,0.0,0.0,0.0,5396.64,100.0,0.0,0.0,0.0,0.0,267.0,0.0,MO,4,0,R,22131.0,0.0,0.0,0.0,0,22131.0,12616.010000000002,0.5700605485518052
H4MO05192,2004,317865.28,2125.14,10522.17,587326.03,45500.0,7377.96,3031.23,0.0,0.0,0.0,0.0,0.0,5034.57,MO,5,0,D,48607.0,0.0,0.0,0.0,0,48607.0,978782.38,20.13665480280618
H4MO05192,2006,3181.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,3181.85,
H4MO05234,2004,69953.3,871.39,3821.16,281139.82,51299.7,10041.0,6874.84,0.0,0.0,0.0,0.0,10250.0,1085342.36,MO,5,0,D,72810.0,0.0,161727.0,0.0,1,234537.0,1519593.5700000003,6.47912086365904
