cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
H0CA19173,2014,218106.53,69075.68,334543.04000000004,1118773.98,64550.0,,,,,,,8450.0,39146.03
H0CA19181,2010,45805.64,,30713.87,46695.84,,9537.92,483.41,,,,,,
H0CA20098,2010,235380.34,1122.01,49517.84,505033.34,5058.85,66901.71,,,,,,,12862.5
H0CA20114,2010,23377.06,,,26807.37,,9887.28,,,,,,,47.93
H0CA23092,2010,6409.87,110.28,446.0,12159.4,,9824.36,,,,,,,25239.53
H0CA23100,2010,82645.29,2476.77,827.29,2025.0,,30542.96,,,,,,,30412.55
H0CA23118,2010,191260.34,24819.97,49089.18,150523.83,34493.16,116595.88,29103.64,,,,,,
H0CA23118,2012,6765.7,2541.92,,675.0,,81.56,2388.0,,,,1016.9,,
H0CA23126,2010,43985.47,5900.0,,38919.78,,2135.6,100.0,,,,,,350.0
H0CA24108,2010,479.7,,,,,,,,,,,,
H0CA24116,2010,59412.42,,4796.66,26844.7,,39153.88,1093.73,,5626.03,,,,39847.59
H0CA24116,2012,1706.72,607.36,,,,,,,,,,,
H0CA26087,2010,8802.34,293.0,1750.0,17383.6,,4485.28,10835.57,,,,,,
H0CA26087,2012,12170.36,1331.89,979.91,6134.47,,7095.3,1546.75,,,,,,
H0CA27101,2010,144.82,666.69,8326.56,88211.51,4908.48,,1190.0,,,,,250.0,214.39
H0CA27101,2012,837.44,,7314.0,29552.81,,,,,,,,,
H0CA27101,2014,1689.54,,,2677.43,,,,,,,,,399.0
H0CA28091,2010,11861.31,,169.9,15308.38,,820.0,,,,,,1177.0,2850.0
H0CA28091,2012,59.9,,,,,,,,,,,,
H0CA28117,2010,836.43,,,,,972.4,,,,,,,
H0CA29099,2010,282987.57,10663.74,57999.82,169827.61,40750.0,92954.92,7518.3,,,,,,2066.53
H0CA29107,2010,5590.32,,1750.0,9255.49,,,10835.57,,,,,,
H0CA30063,2010,19798.78,,2862.28,15000.0,,3352.38,,,,,,,
H0CA30071,2010,18111.98,,16500.0,6000.0,15500.0,,,,,,,,776.42
H0CA30071,2012,384.0,,,,,,,,,,,,
H0CA30071,2014,539.06,,,,,,,,,,,,
H0CA30097,2010,15.34,458.15,,10164.0,,1130.17,279.15,,,,,,425.0
H0CA30113,2010,1320.81,,,6376.86,,1183.26,,,,,,,
H0CA30113,2012,108.0,,,,,,,,,,132.73,,
H0CA31087,2004,103105.13,2382.52,205475.23,8284.71,5610.34,1935.24,252.16,,,,,,23264.78
H0CA31087,2006,77761.86,410.55,243069.49,956.25,16427.5,,1500.0,,,,,,24655.97
H0CA31087,2008,62660.43,2239.34,216595.09,1486.19,,,,,,,,,46350.47
H0CA31087,2010,10455.42,207.12,7000.0,,,,,,,,,,3493.09
H0CA31087,2014,4942.53,,,,,,,,,,,,
H0CA31111,2010,5590.32,,1750.0,9255.49,,,10835.57,,,,,,274.99
H0CA31111,2012,224.0,,,,,,,,,,16.0,,3337.19
H0CA32101,2010,9368.27,,16319.61,,,4399.88,300.0,,,,,,1639249.44
H0CA32101,2012,210569.36,7669.01,221468.82,34643.48,,2510.11,560.0,,,,,,48617.76
H0CA32101,2014,371378.08,1575.99,82606.02,400.0,,9950.05,500.0,,,,,,16354.03
H0CA32325,2010,5590.32,,1750.0,9255.49,,,10835.57,,,,,,
H0CA33083,2010,31043.9,,60017.42,18888.05,,,,,,,,,1348.9
H0CA33174,2010,5590.32,,1750.0,9255.49,,,10835.57,,,,,,
H0CA33182,2010,1072.71,,,,,,,,,,,100.0,1740.0
H0CA35112,2010,7330.32,2046.67,17364.29,9255.49,,,10835.57,,,,,,
H0CA36128,2010,368.91,,,4041.0,,14197.23,,,,,,,
H0CA36136,2010,93537.37,3158.18,8000.0,33370.13,,2383.45,,,,,,,24807.68
H0CA37142,2010,990.0,,,10464.44,,9762.94,288.0,,,,,,
H0CA37159,2010,1808541.1,,,,,,,,,,,,7079.94
H0CA37159,2012,38004.82,,,,,,,,,,,,
H0CA38116,2010,5590.32,,1750.0,9255.49,,,10835.57,,,,,,
H0CA39080,2010,25869.6,,15727.84,5363.0,84.0,661.0,258.0,,,,,,
H0CA39080,2012,858.82,,,,,,,,,,,,
H0CA39098,2010,5590.32,,1750.0,9255.49,,,10835.57,,,,,,
H0CA42167,2010,27707.28,,,5925.0,,,,,,,,,
H0CA42175,2010,127480.6,,8589.55,629756.37,,21485.56,810.72,,,,,,4800.0
H0CA42175,2012,112798.23,5935.74,13297.16,495238.04,,,3334.26,,,,,,
H0CA42191,2010,5590.32,,1750.0,9255.49,,,10835.57,,,,,,
H0CA45012,2004,219755.8,18962.94,169670.45,169686.35,8250.0,54137.84,17649.09,,,,,,19101.97
H0CA45012,2006,665746.91,2946.17,62608.34,300.0,16800.0,2525.0,3373.55,,9.99,,1000.0,,
H0CA45053,2010,511826.13,19511.03,47588.78,1100921.42,26300.0,94587.74,,,,,,,44197.340000000004
H0CA45053,2012,1898.55,,,,,,,,,,,,2742.85
H0CA45061,2012,7675.0,,,8207.62,,,,,,,,,
H0CA46069,2010,8141.56,,1250.63,2879.2,,2618.17,50.0,,,,,,1628.4
H0CA46069,2012,611.85,,,,,,,,,,,,
H0CA47067,2010,382965.46,27778.06,130381.39,731055.95,56553.92,,,,,,,,13178.28
H0CA47067,2012,4494.8,958.91,,,,,,,,,,,
H0CA47083,2010,17374.48,,2400.0,39789.0,,3443.0,4221.0,,,,,,33477.81
H0CA47109,2010,8670.46,,,3660.0,,28850.33,500.0,,,,,,
H0CA48024,2010,873055.53,1050.0,,,,,,,,,,,149155.75
H0CA48024,2012,1045593.48,,,,,,,,,,,,3138.02
H0CA48024,2014,1933304.06,,,,,,,,,,,,23183.74
H0CA48032,2004,4343.68,,15978.67,,,,,,,,,,1266.0
H0CA48032,2006,73211.28,2233.16,68302.92,129513.97,15800.0,183230.75,3429.1,,,,,,40550.15
H0CA48032,2008,600.0,,,,,,,,,,,,
H0CA48032,2012,695.28,,,,,,,,,,,,
H0CA48131,2010,281203.41,7102.03,71543.67,17061.0,28427.23,278811.78,2750.0,,,,,,2322.33
H0CA48131,2012,216.0,,600.0,,,,,,,,,,
H0CA49055,2004,192592.04,1479.0,18402.9,,24361.2,,3171.14,,,,,,2719.51
H0CA49055,2006,183303.78,479.8,16949.48,1629.18,2500.0,,120.0,,,,,,
H0CA49055,2008,154174.48,,91563.85,360.0,15000.0,53.88,2673.2,,,,53925.0,,1818.38
H0CA49055,2010,545846.29,2375.02,4927.28,3500.36,,3678.56,3148.31,,,,,,1078.89
H0CA49055,2012,585229.8,1614.04,11623.23,448.0,,,1723.25,,,,350.19,,17920.36
H0CA49055,2014,390886.64,,3269.6,,,,,,,,428.75,,10350.0
H0CA49089,2010,5927.7,355.02,,1090.14,,719.93,,,,,,,344.32
H0CA49089,2012,350.0,,,,,,,,,,,,
H0CA50061,2010,16874.13,,7811.0,,1500.0,,,,,,,,120986.75
H0CA51036,2010,50029.5,4417.73,46823.99,158398.15,,53767.28,22797.09,,,,,,10967.36
H0CA51036,2012,26613.23,4952.17,12982.6,37413.56,2841.75,10738.34,10035.35,,,,,,1712.22
H0CA51036,2014,2461.52,,,,,,,,,,250.0,,
H0CA53032,2010,11105.78,,4051.68,24169.1,,,,,,,,,2000.0
H0CA53032,2012,488.49,,,,,,,,,,,,
H0CO01078,2010,45459.39,,39444.73,78349.06,4500.0,23726.9,2085.33,,,,,,
H0CO01110,2010,763.06,5.0,506.35,11881.06,,469.75,,,,,,,19.91
H0CO01110,2012,127.44,27.43,,,,,,,,,,,
H0CO02134,2010,60533.29,,3239.63,26046.44,3695.0,19896.78,6286.02,,,,,,9135.58
H0CO02142,2010,4620.71,557.03,5809.4,24793.45,,5390.71,906.71,,,,,,600.0
H0CO03090,2010,35953.98,,336.59,39745.11,,,2000.0,,,,,,94665.15
H0CO04122,2012,13800.31,,,,,,,,,,,,1562415.2199999997
H0CO04122,2014,12351.49,,,,,,,,,,,,12376959.43
