state_abbreviation,district,cand_id,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,cycle,total_votes
CA,6,H4CA06107,0,D,19039.0,0.0,0.0,0.0,0,2004,19039
CA,6,H2CA06234,0,R,43248.0,0.0,85244.0,0.0,0,2004,128492
CA,7,H6CA07043,1,D,71268.0,0.0,166831.0,0.0,1,2004,238099
CA,7,H2CA07091,0,R,23900.0,0.0,52446.0,0.0,0,2004,76346
CA,8,H8CA05035,1,D,94564.0,0.0,224017.0,0.0,1,2004,318581
CA,8,H4CA08079,0,R,8814.0,0.0,31074.0,0.0,0,2004,39888
CA,8,H4CA08087,0,PFP,266.0,0.0,9527.0,0.0,0,2004,9793
CA,9,H8CA09060,1,D,105211.0,0.0,215630.0,0.0,1,2004,320841
CA,9,H4CA09051,0,R,11813.0,0.0,31278.0,0.0,0,2004,43091
CA,9,H2CA09097,0,LBT,410.0,0.0,8131.0,0.0,0,2004,8541
CA,10,H6CA10088,1,D,75997.0,0.0,182750.0,0.0,1,2004,258747
CA,10,H4CA10067,0,R,45615.0,0.0,95349.0,0.0,0,2004,140964
CA,11,H2CA11051,1,R,65046.0,0.0,163582.0,0.0,1,2004,228628
CA,11,H4CA11081,0,W(D)/D,1667.0,0.0,103587.0,0.0,0,2004,105254
CA,12,H0CA11022,1,D,63323.0,0.0,171852.0,0.0,1,2004,235175
CA,12,H4CA12055,0,D,17107.0,0.0,0.0,0.0,0,2004,17107
CA,12,H2CA12158,0,D,5678.0,0.0,0.0,0.0,0,2004,5678
CA,12,H4CA05075,0,R,13967.0,0.0,52593.0,0.0,0,2004,66560
CA,12,H4CA12063,0,R,11214.0,0.0,0.0,0.0,0,2004,11214
CA,12,H4CA12071,0,GRN,1072.0,0.0,23038.0,0.0,0,2004,24110
CA,12,H4CA12089,0,GRN,480.0,0.0,0.0,0.0,0,2004,480
CA,12,H4CA12097,0,LBT,390.0,0.0,5116.0,0.0,0,2004,5506
CA,13,H6CA09023,1,D,59726.0,0.0,144605.0,0.0,1,2004,204331
CA,13,H4CA13079,0,R,19606.0,0.0,48439.0,0.0,0,2004,68045
CA,13,H2CA13073,0,LBT,389.0,0.0,8877.0,0.0,0,2004,9266
CA,14,H8CA12098,1,D,81911.0,0.0,182712.0,0.0,1,2004,264623
CA,14,H8CA14128,0,R,33732.0,0.0,69564.0,0.0,0,2004,103296
CA,14,H4CA14085,0,LBT,873.0,0.0,9588.0,0.0,0,2004,10461
CA,15,H0CA15148,1,D,58531.0,0.0,154385.0,0.0,1,2004,212916
CA,15,H4CA15058,0,R,26813.0,0.0,59953.0,0.0,0,2004,86766
CA,16,H4CA16049,1,D,50254.0,0.0,129222.0,0.0,1,2004,179476
CA,16,H2CA16084,0,R,20411.0,0.0,47992.0,0.0,0,2004,68403
CA,16,H4CA15041,0,LBT,346.0,0.0,5067.0,0.0,0,2004,5413
CA,17,H4CA17021,1,D,65809.0,0.0,148958.0,0.0,1,2004,214767
CA,17,H6CA16069,0,D,6401.0,0.0,0.0,0.0,0,2004,6401
CA,17,H4CA17260,0,R,23139.0,0.0,65117.0,0.0,0,2004,88256
CA,17,H8CA15067,0,R,7751.0,0.0,0.0,0.0,0,2004,7751
CA,17,H2CA17074,0,GRN,1656.0,0.0,3645.0,0.0,0,2004,5301
CA,17,H4CA17278,0,PFP,141.0,0.0,2823.0,0.0,0,2004,2964
CA,17,H4CA17286,0,LBT,482.0,0.0,2607.0,0.0,0,2004,3089
CA,18,H2CA18056,1,D,39565.0,0.0,103732.0,0.0,1,2004,143297
CA,18,H4CA18045,0,R,16913.0,0.0,49973.0,0.0,0,2004,66886
CA,18,H4CA18052,0,R,7756.0,0.0,0.0,0.0,0,2004,7756
CA,19,H2CA19054,1,R,65050.0,0.0,155354.0,0.0,1,2004,220404
CA,19,H4CA19076,0,D,39637.0,0.0,64047.0,0.0,0,2004,103684
CA,19,H4CA19084,0,GRN,540.0,0.0,15863.0,0.0,0,2004,16403
CA,20,H4CA20082,0,D,24338.0,0.0,61005.0,0.0,1,2004,85343
CA,20,H0CA20074,0,D,8925.0,0.0,0.0,0.0,0,2004,8925
CA,20,H4CA20108,0,R,15394.0,0.0,53231.0,0.0,0,2004,68625
CA,20,H4CA20116,0,R,3934.0,0.0,0.0,0.0,0,2004,3934
CA,21,H8CA20059,1,R,59510.0,0.0,140721.0,0.0,1,2004,200231
CA,21,H4CA21064,0,D,32271.0,0.0,51594.0,0.0,0,2004,83865
CA,22,H8CA18020,1,R,78809.0,0.0,209384.0,0.0,1,2004,288193
CA,23,H8CA22089,1,D,64202.0,0.0,153980.0,0.0,1,2004,218182
CA,23,H2CA22116,0,R,43738.0,0.0,83926.0,0.0,0,2004,127664
CA,23,H4CA23136,0,LBT,490.0,0.0,6391.0,0.0,0,2004,6881
CA,24,H6CA21028,1,R,78839.0,0.0,178660.0,0.0,1,2004,257499
CA,24,H4CA24118,0,D,47259.0,0.0,96397.0,0.0,0,2004,143656
CA,24,H4CA24126,0,GRN,723.0,0.0,9321.0,0.0,0,2004,10044
CA,25,H2CA25036,1,R,47727.0,0.0,145575.0,0.0,1,2004,193302
CA,25,H4CA25099,0,D,15714.0,0.0,80395.0,0.0,0,2004,96109
CA,25,H6CA40234,0,D,12303.0,0.0,0.0,0.0,0,2004,12303
CA,26,H8CA35032,1,R,53368.0,0.0,134596.0,0.0,1,2004,187964
CA,26,H4CA26113,0,R,10502.0,0.0,0.0,0.0,0,2004,10502
CA,26,H4CA26097,0,D,21365.0,0.0,107522.0,0.0,0,2004,128887
CA,26,H4CA26105,0,D,13171.0,0.0,0.0,0.0,0,2004,13171
CA,26,H4CA28083,0,LBT,340.0,0.0,9089.0,0.0,0,2004,9429
CA,27,H6CA24113,1,D,40350.0,0.0,125296.0,0.0,1,2004,165646
CA,27,H2CA27180,0,R,24883.0,0.0,66946.0,0.0,0,2004,91829
CA,27,H4CA27103,0,GRN,335.0,0.0,8956.0,0.0,0,2004,9291
CA,28,H2CA26026,1,D,33702.0,0.0,115303.0,0.0,1,2004,149005
CA,28,H4CA28069,0,D,7448.0,0.0,0.0,0.0,0,2004,7448
CA,28,H2CA28097,0,R,11409.0,0.0,37868.0,0.0,0,2004,49277
CA,28,H2CA28105,0,LBT,217.0,0.0,9339.0,0.0,0,2004,9556
CA,29,H0CA27085,1,D,40699.0,0.0,133670.0,0.0,1,2004,174369
CA,29,H4CA29091,0,R,17077.0,0.0,62871.0,0.0,0,2004,79948
CA,29,H4CA29109,0,R,8238.0,0.0,0.0,0.0,0,2004,8238
CA,29,H4CA27095,0,R,3864.0,0.0,0.0,0.0,0,2004,3864
CA,29,H4CA29117,0,GRN,421.0,0.0,5715.0,0.0,0,2004,6136
CA,29,H6CA25086,0,LBT,289.0,0.0,4570.0,0.0,0,2004,4859
CA,30,H6CA24048,1,D,78362.0,0.0,216682.0,0.0,1,2004,295044
CA,30,H4CA30073,0,R,29018.0,0.0,87465.0,0.0,0,2004,116483
CA,31,H2CA30143,1,D,26308.0,0.0,89363.0,0.0,1,2004,115671
CA,31,H0CA32085,0,D,3103.0,0.0,0.0,0.0,0,2004,3103
CA,31,H2CA31083,0,R,5634.0,0.0,22048.0,0.0,0,2004,27682
CA,32,H0CA31087,1,D,28948.0,0.0,119144.0,0.0,1,2004,148092
CA,32,H4CA32095,0,LBT,91.0,0.0,21002.0,0.0,0,2004,21093
CA,33,H2CA32099,1,D,53376.0,0.0,166801.0,0.0,1,2004,220177
CA,33,H4CA33077,0,LBT,178.0,0.0,21513.0,0.0,0,2004,21691
CA,34,H2CA33048,1,D,22593.0,0.0,82282.0,0.0,1,2004,104875
CA,34,H8CA33235,0,R,7683.0,0.0,28175.0,0.0,0,2004,35858
CA,35,H4CA23011,1,D,41452.0,0.0,125949.0,0.0,1,2004,167401
CA,35,H2CA35092,0,R,7573.0,0.0,23591.0,0.0,0,2004,31164
CA,35,H6CA35093,0,AIP,300.0,0.0,3440.0,0.0,0,2004,3740
CA,35,H2CA33113,0,LBT,96.0,0.0,3427.0,0.0,0,2004,3523
CA,36,H2CA27107,1,D,48524.0,0.0,151208.0,0.0,1,2004,199732
CA,36,H4CA36096,0,R,13081.0,0.0,81666.0,0.0,0,2004,94747
CA,36,H2CA36215,0,R,9430.0,0.0,0.0,0.0,0,2004,9430
CA,36,H4CA36088,0,R,7966.0,0.0,0.0,0.0,0,2004,7966
CA,36,H4CA36112,0,PFP,124.0,0.0,6105.0,0.0,0,2004,6229
CA,36,H4CA36104,0,LBT,456.0,0.0,5065.0,0.0,0,2004,5521
CA,37,H6CA37222,1,D,27047.0,0.0,118823.0,0.0,1,2004,145870
CA,37,H4CA37060,0,D,7800.0,0.0,0.0,0.0,0,2004,7800
CA,37,H2CA38062,0,D,6802.0,0.0,0.0,0.0,0,2004,6802
CA,37,H0CA37118,0,R,10172.0,0.0,31960.0,0.0,0,2004,42132
CA,37,H2CA37254,0,LBT,180.0,0.0,7535.0,0.0,0,2004,7715
CA,38,H8CA34068,1,D,26632.0,0.0,116851.0,0.0,1,2004,143483
CA,38,H4CA38084,0,D,7122.0,0.0,0.0,0.0,0,2004,7122
CA,39,H2CA39078,1,D,30424.0,0.0,100132.0,0.0,1,2004,130556
CA,39,H2CA39102,0,R,18227.0,0.0,64832.0,0.0,0,2004,83059
CA,40,H6CA39020,1,R,61464.0,0.0,147617.0,0.0,1,2004,209081
CA,40,H4CA40072,0,D,17294.0,0.0,69684.0,0.0,0,2004,86978
CA,40,H8CA47011,0,D,16144.0,0.0,0.0,0.0,0,2004,16144
CA,41,H8CA37079,1,R,63453.0,0.0,181605.0,0.0,1,2004,245058
CA,41,H4CA41112,0,LBT,424.0,0.0,37332.0,0.0,0,2004,37756
CA,42,H8CA41063,1,R,65558.0,0.0,167632.0,0.0,1,2004,233190
CA,42,H4CA42052,0,D,29583.0,0.0,78393.0,0.0,0,2004,107976
CA,43,H6CA42099,1,D,27769.0,0.0,86830.0,0.0,1,2004,114599
CA,43,H4CA43069,0,R,13599.0,0.0,44004.0,0.0,0,2004,57603
CA,44,H2CA37023,1,R,49107.0,0.0,138768.0,0.0,1,2004,187875
CA,44,H4CA44132,0,R,8132.0,0.0,0.0,0.0,0,2004,8132
CA,44,H2CA44128,0,D,33140.0,0.0,78796.0,0.0,0,2004,111936
CA,44,H4CA44140,0,PFP,103.0,0.0,7559.0,0.0,0,2004,7662
CA,45,H8CA44034,1,R,51429.0,0.0,153523.0,0.0,1,2004,204952
CA,45,H0CA44122,0,R,8422.0,0.0,0.0,0.0,0,2004,8422
CA,45,H4CA45071,0,D,27117.0,0.0,76967.0,0.0,0,2004,104084
CA,45,H4CA45055,0,D,11168.0,0.0,0.0,0.0,0,2004,11168
CA,46,H8CA42061,1,R,69132.0,0.0,171318.0,0.0,1,2004,240450
CA,46,H6CA27124,0,R,13630.0,0.0,0.0,0.0,0,2004,13630
CA,46,H4CA46061,0,D,21408.0,0.0,90129.0,0.0,0,2004,111537
CA,46,H4CA46087,0,D,14349.0,0.0,0.0,0.0,0,2004,14349
CA,46,H4CA46079,0,D,8252.0,0.0,0.0,0.0,0,2004,8252
CA,46,H4CA46095,0,GRN,581.0,0.0,10238.0,0.0,0,2004,10819
CA,46,H0CA39072,0,LBT,707.0,0.0,5005.0,0.0,0,2004,5712
CA,47,H6CA46033,1,D,23270.0,0.0,65684.0,0.0,1,2004,88954
CA,47,H2CA46099,0,R,12061.0,0.0,43099.0,0.0,0,2004,55160
CA,47,H4CA47051,0,R,8258.0,0.0,0.0,0.0,0,2004,8258
CA,48,H8CA40057,1,R,85697.0,0.0,189004.0,0.0,1,2004,274701
CA,48,H0CA47034,0,D,39385.0,0.0,93525.0,0.0,0,2004,132910
CA,48,H4CA48026,0,LBT,718.0,0.0,8343.0,0.0,0,2004,9061
CA,49,H0CA48024,1,R,66710.0,0.0,141658.0,0.0,1,2004,208368
CA,49,H2CA49200,0,D,32903.0,0.0,79057.0,0.0,0,2004,111960
CA,49,H4CA49081,0,LBT,526.0,0.0,5751.0,0.0,0,2004,6277
CA,50,H0CA45012,1,R,81854.0,0.0,169025.0,0.0,1,2004,250879
CA,50,H4CA50055,0,D,47600.0,0.0,105590.0,0.0,0,2004,153190
CA,50,H4CA50089,0,LBT,770.0,0.0,3486.0,0.0,0,2004,4256
CA,50,H4CA50071,0,GRN,700.0,0.0,6504.0,0.0,0,2004,7204
CA,50,H4CA50063,0,AIP,1037.0,0.0,4723.0,0.0,0,2004,5760
CA,51,H2CA50034,1,D,33046.0,0.0,111441.0,0.0,1,2004,144487
CA,51,H2CA51131,0,D,10074.0,0.0,0.0,0.0,0,2004,10074
CA,51,H4CA51053,0,R,19948.0,0.0,63526.0,0.0,0,2004,83474
CA,51,H4CA51046,0,R,8662.0,0.0,0.0,0.0,0,2004,8662
CA,51,H4CA51061,0,LBT,203.0,0.0,5912.0,0.0,0,2004,6115
CA,52,H2CA42023,1,R,83638.0,0.0,187799.0,0.0,1,2004,271437
CA,52,H4CA52044,0,D,42770.0,0.0,74857.0,0.0,0,2004,117627
CA,52,H0CA52018,0,LBT,671.0,0.0,8782.0,0.0,0,2004,9453
CA,53,H0CA49055,1,D,55791.0,0.0,146449.0,0.0,1,2004,202240
CA,53,H4CA53018,0,R,30925.0,0.0,63897.0,0.0,0,2004,94822
CA,53,H4CA53026,0,GRN,1000.0,0.0,7523.0,0.0,0,2004,8523
CA,53,H4CA53034,0,LBT,712.0,0.0,3567.0,0.0,0,2004,4279
CA,S,S2CA00286,1,D,2566298.0,0.0,6955728.0,0.0,1,2004,9522026
CA,S,S4CA00274,0,R,1015747.0,0.0,4555922.0,0.0,0,2004,5571669
CA,S,S4CA00258,0,R,454176.0,0.0,0.0,0.0,0,2004,454176
CA,S,S4CA00282,0,R,253341.0,0.0,0.0,0.0,0,2004,253341
CA,S,S4CA00225,0,R,142080.0,0.0,0.0,0.0,0,2004,142080
CA,S,S4CA00308,0,R,124938.0,0.0,0.0,0.0,0,2004,124938
CA,S,S4CA00233,0,R,78264.0,0.0,0.0,0.0,0,2004,78264
CA,S,S4CA00340,0,R,71241.0,0.0,0.0,0.0,0,2004,71241
CA,S,S4CA00324,0,R,56925.0,0.0,0.0,0.0,0,2004,56925
CA,S,S4CA00217,0,R,37745.0,0.0,0.0,0.0,0,2004,37745
CA,S,S4CA00290,0,R,32515.0,0.0,0.0,0.0,0,2004,32515
CA,S,S4CA00357,0,PFP,4864.0,0.0,243846.0,0.0,0,2004,248710
CA,S,S4CA00266,0,LBT,13656.0,0.0,216522.0,0.0,0,2004,230178
CA,S,S8CA00283,0,LBT,10177.0,0.0,0.0,0.0,0,2004,10177
CA,S,S4CA00332,0,AIP,32025.0,0.0,81224.0,0.0,0,2004,113249
CO,1,H6CO01141,1,D,47579.0,0.0,177077.0,0.0,1,2004,224656
CO,1,H2CO01074,0,R,16417.0,0.0,58659.0,0.0,0,2004,75076
CO,1,H2CO01108,0,AMC,0.0,0.0,5193.0,0.0,0,2004,5193
CO,2,H8CO02087,1,D,32679.0,0.0,207900.0,0.0,1,2004,240579
CO,2,H4CO02086,0,R,12538.0,0.0,94160.0,0.0,0,2004,106698
CO,2,H0CO02092,0,R,11518.0,0.0,0.0,0.0,0,2004,11518
CO,2,H2CO02122,0,LBT,0.0,0.0,7304.0,0.0,0,2004,7304
CO,3,H4CO03167,0,D,34464.0,0.0,153500.0,0.0,1,2004,187964
CO,3,H4CO03126,0,R,15572.0,0.0,141376.0,0.0,0,2004,156948
CO,3,H4CO03100,0,R,15298.0,0.0,0.0,0.0,0,2004,15298
CO,3,H4CO03159,0,R,7968.0,0.0,0.0,0.0,0,2004,7968
CO,3,H4CO03118,0,R,5612.0,0.0,0.0,0.0,0,2004,5612
CO,3,H4CO03217,0,R,4408.0,0.0,0.0,0.0,0,2004,4408
CO,3,H4CO03225,0,UN,0.0,0.0,8770.0,0.0,0,2004,8770
CO,4,H2CO04045,1,R,44649.0,0.0,155958.0,0.0,1,2004,200607
