cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,state_abbreviation,district,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,total_votes
H4GA08067,2004,,,,,,,,,,,,,1553164.78,GA,8,0,R,43005.0,34250.0,227524.0,0.0,1,304779.0
H4GA08067,2006,,,,,,,,,,,,,590230.74,GA,3,1,REP,39572.0,0.0,130428.0,0.0,1,170000.0
H4GA08067,2008,,,,,,,,,,,,,594494.01,GA,3,1,R,55128.0,0.0,225055.0,0.0,1,280183.0
H4GA09032,2006,,,,,,,,,,,,,641.26,,,,,,,,,,
H4GA10022,2004,,,,,,,,,,,,,801893.5,GA,9,1,R,72652.0,0.0,197869.0,0.0,1,270521.0
H4GA10022,2008,,,,,,,,,,,,,196622.23,,,,,,,,,,
H4GA10055,2014,,,,,,,,,,,,,504478.77,GA,10,0,R,7972.0,0.0,0.0,0.0,0,7972.0
H4GA10097,2014,,,,,,,,,,,,,15651.96,GA,10,0,R,1027.0,0.0,0.0,0.0,0,1027.0
H4GA11053,2014,,,,,,,,,,,,,864424.16,GA,11,0,R,14704.0,17807.0,0.0,0.0,0,32511.0
H4GA11061,2014,,,,,,,,,,,,,987983.32,GA,11,0,R,20862.0,34667.0,161532.0,0.0,1,217061.0
H4GA11087,2014,,,,,,,,,,,,,476715.94,GA,11,0,R,9745.0,0.0,0.0,0.0,0,9745.0
H4GA12010,2010,,,,,,,,,,,,,1885519.08,GA,12,1,DEM,19505.0,0.0,92459.0,0.0,1,111964.0
H4GA12010,2012,,,,,,,,,,,,,2869621.75,GA,12,1,D,41587.0,0.0,139148.0,0.0,1,180735.0
H4GA12010,2014,,,,,,,,,,,,,3520756.53,GA,12,1,D,26324.0,0.0,75478.0,0.0,0,101802.0
H4GA12044,2014,,,,,,,,,,,,,172443.08,GA,12,0,R,6644.0,0.0,0.0,0.0,0,6644.0
H4HI01118,2014,,,,,,,,,,,,,427123.5,HI,1,0,D,7937.0,0.0,0.0,0.0,0,7937.0
H4HI01167,2014,,,,,,,,,,,,,712109.7,HI,1,0,D,33678.0,0.0,0.0,0.0,0,33678.0
H4HI02082,2012,,,,,,,,,,,,,7612.06,HI,2,0,D,573.0,0.0,0.0,0.0,0,573.0
H4IA01085,2014,,,,,,,,,,,,,382928.75,IA,1,0,D,1846.0,0.0,0.0,0.0,0,1846.0
H4IA02059,2014,,,,,,,,,,,,,1185.0,IA,2,0,R,3746.0,0.0,0.0,0.0,0,3746.0
H4IA03081,2014,,,,,,,,,,,,,283665.9,IA,3,0,R,8464.0,0.0,0.0,0.0,0,8464.0
H4IA03099,2014,,,,,,,,,,,,,734888.84,IA,3,0,R,9032.0,0.0,0.0,0.0,0,9032.0
H4IA03107,2014,,,,,,,,,,,,,371631.56,IA,3,0,R,7220.0,0.0,0.0,0.0,0,7220.0
H4IA04105,2006,,,,,,,,,,,,,1691.26,,,,,,,,,,
H4IA05102,2004,,,,,,,,,,,,,966307.36,IA,4,1,R,12350.0,0.0,181294.0,0.0,1,193644.0
H4IA05102,2006,,,,,,,,,,,,,1084349.5,IA,4,1,REP,14899.0,0.0,121650.0,0.0,1,136549.0
H4IA05102,2010,,,,,,,,,,,,,606277.43,IA,4,1,REP,42605.0,0.0,152588.0,0.0,1,195193.0
H4IL03077,2004,,,,,,,,,,,,,42327.35,IL,3,0,D,0.0,0.0,167034.0,0.0,1,167034.0
H4IL03077,2006,,,,,,,,,,,,,289763.1,IL,3,1,DEM,44401.0,0.0,127768.0,0.0,1,172169.0
H4IL03077,2008,,,,,,,,,,,,,438093.95,IL,3,1,D,62439.0,0.0,172581.0,0.0,1,235020.0
H4IL03077,2010,,,,,,,,,,,,,359139.54,IL,3,1,DEM,57684.0,0.0,116120.0,0.0,1,173804.0
H4IL03077,2012,,,,,,,,,,,,,490483.8,IL,3,1,D,44532.0,0.0,168738.0,0.0,1,213270.0
H4IL03077,2014,,,,,,,,,,,,,524461.33,IL,3,1,D,28883.0,0.0,116764.0,0.0,1,145647.0
H4IL03093,2014,,,,,,,,,,,,,34532.18,IL,3,0,R,18358.0,0.0,64091.0,0.0,0,82449.0
H4IL04083,2014,,,,,,,,,,,,,39230.89,IL,4,0,D,4796.0,0.0,0.0,0.0,0,4796.0
H4IL07037,2004,,,,,,,,,,,,,314117.45,IL,7,1,D,84950.0,0.0,221133.0,0.0,1,306083.0
H4IL07037,2006,,,,,,,,,,,,,227440.58,IL,7,1,DEM,77287.0,0.0,143071.0,0.0,1,220358.0
H4IL07037,2008,,,,,,,,,,,,,206117.1,IL,7,1,D,129865.0,0.0,235343.0,0.0,1,365208.0
H4IL07037,2010,,,,,,,,,,,,,309438.68,IL,7,1,DEM,52728.0,0.0,149846.0,0.0,1,202574.0
H4IL07037,2012,,,,,,,,,,,,,278942.36,IL,7,1,D,57896.0,0.0,242439.0,0.0,1,300335.0
H4IL07037,2014,,,,,,,,,,,,,309057.94,IL,7,1,D,43061.0,0.0,155110.0,0.0,1,198171.0
H4IL11096,2006,,,,,,,,,,,,,1757312.62,IL,11,1,REP ,45954.0,0.0,109009.0,0.0,1,154963.0
H4IL11096,2008,,,,,,,,,,,,,632254.49,,,,,,,,,,
H4IL11096,2010,,,,,,,,,,,,,22593.05,,,,,,,,,,
H4IL11211,2014,,,,,,,,,,,,,19792.57,IL,11,0,R,1253.0,0.0,0.0,0.0,0,1253.0
H4IL11237,2014,,,,,,,,,,,,,509244.2,IL,11,0,R,9460.0,0.0,0.0,0.0,0,9460.0
H4IL15055,2014,,,,,,,,,,,,,8019.24,,,,,,,,,,
H4IL17077,2014,,,,,,,,,,,,,4940.0,,,,,,,,,,
H4IL18059,2004,,,,,,,,,,,,,798707.96,IL,18,1,R,52026.0,0.0,216047.0,0.0,1,268073.0
H4IL18059,2006,,,,,,,,,,,,,995034.69,IL,18,1,REP ,49400.0,0.0,150194.0,0.0,1,199594.0
H4IL18059,2008,,,,,,,,,,,,,584825.69,,,,,,,,,,
H4IL19073,2010,,,,,,,,,,,,,13494.26,IL,19,0,DEM,30999.0,0.0,67132.0,0.0,0,98131.0
H4IN01012,2004,,,,,,,,,,,,,875394.59,IN,1,1,D,45141.0,0.0,178406.0,0.0,1,223547.0
H4IN01012,2008,,,,,,,,,,,,,1353274.48,IN,1,1,D,134505.0,0.0,199954.0,0.0,1,334459.0
H4IN01012,2010,,,,,,,,,,,,,1265246.79,IN,1,1,DEM,41982.0,0.0,99387.0,0.0,1,141369.0
